単身世帯_支出金額[円],,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,,,,,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年
,階層,大分類,中分類,小分類,品目分類,(平成12年),(平成13年),(平成14年),(平成15年),(平成16年),(平成17年),(平成18年),(平成19年),(平成20年),(平成21年),(平成22年),(平成23年),(平成24年),(平成25年),(平成26年),(平成27年),(平成28年),(平成29年),(平成30年),(令和元年),(令和２年),(令和３年),(令和４年),(令和５年),(令和６年)
31,3,1,6,-,果物,20828,20304,19438,19229,19181,19645,18734,19295,19010,18516,19896,19863,19639,20131,21416,21146,21039,20318,21579,20482,21342,22168,22591,23903,23199
32,4,1,6,1,生鮮果物,20027,19425,18577,18252,18367,18833,17909,18315,18153,17694,18936,18900,18525,19067,19963,19433,19268,18371,19569,18463,19432,20096,20621,21340,20857
33,4,1,6,2,果物加工品,802,879,862,977,814,812,825,980,858,821,959,963,1115,1064,1454,1713,1771,1947,2010,2018,1910,2072,1970,2563,2342
34,3,1,7,-,油脂・調味料,12306,12058,12179,12972,12762,13175,12946,13342,14280,14690,14334,14713,14497,15048,15181,16507,16364,17110,17478,16938,18321,18261,18261,19791,20052
35,4,1,7,1,油脂,1242,1076,1281,1269,1187,1210,1260,1345,1373,1519,1336,1286,1324,1515,1349,1924,1646,1648,1884,1909,1863,1935,1880,1970,2253
36,4,1,7,2,調味料,11064,10982,10898,11702,11574,11965,11686,11996,12907,13171,12999,13427,13173,13532,13833,14583,14718,15462,15594,15028,16459,16326,16381,17821,17800
37,3,1,8,-,菓子類,33562,35158,35543,35894,34208,35208,34959,36116,37170,37711,36753,37638,37574,39656,41504,41140,41155,41815,42534,42742,41349,43345,46015,49680,51411
38,3,1,9,-,調理食品,66626,63633,65029,64505,66315,64057,64404,67419,69647,67652,68061,69284,69702,69828,73735,78033,80886,82228,83911,82187,86978,90367,94133,94673,100178
39,4,1,9,1,主食的調理食品,39674,37954,38584,37314,38633,36775,37188,37802,38891,36826,37748,37219,36656,35704,38650,41924,42419,42806,42119,41499,43577,43273,45716,44963,49793
40,4,1,9,2,他の調理食品,26951,25680,26445,27191,27682,27282,27215,29617,30756,30826,30313,32064,33046,34124,35085,36109,38467,39421,41792,40689,43401,47094,48417,49710,50384
41,3,1,10,-,飲料,34206,34477,35452,33384,34927,33535,34334,36097,34318,35405,35957,35442,34200,34442,35096,36860,38003,36524,38575,38308,38829,37591,38669,41138,42296
42,4,1,10,1,茶類,9575,9582,10421,9997,10474,10402,9611,10449,9724,9685,9562,9464,8686,9174,9135,9355,9611,9218,10174,9399,9317,8537,8198,9178,9744
43,4,1,10,2,コーヒー・ココア,8168,8457,8654,8042,7620,7705,8384,8543,8598,9261,9204,8457,8336,8206,8750,9649,9380,8205,9362,8727,8706,8606,8665,8561,8745
44,4,1,10,3,他の飲料,16463,16437,16377,15345,16833,15428,16339,17104,15997,16458,17192,17522,17178,17062,17211,17856,19012,19101,19039,20183,20806,20448,21806,23399,23807
45,3,1,11,-,酒類,27489,26382,27415,24090,24216,23527,23746,25314,24941,24719,26739,25511,25093,22140,25158,25375,26402,25395,22382,24866,23671,27855,27901,22994,24165
46,3,1,12,-,外食,230095,220359,225203,199303,213516,203344,182339,183673,190119,165543,159540,165231,161048,161621,161120,168238,157151,154003,147767,154525,104858,103746,116488,140679,148435
47,3,1,13,-,賄い費,3671,6823,4773,3685,2264,1477,3368,3878,3818,3263,1695,2426,4900,2692,1779,2315,1065,2006,777,1538,1512,1488,928,758,575
48,2,2,-,-,住居,306626,312948,289425,294291,294708,283478,277838,272865,288581,260464,251723,257316,248600,262563,259886,244196,242040,248188,271750,250249,251397,265421,279864,285785,280474
49,3,2,1,-,家賃地代,256264,252979,244676,250192,248618,231053,229692,222428,245177,222956,204640,210360,195019,203883,212681,195747,197539,190859,195343,195394,206041,215782,229891,237382,213109
50,3,2,2,-,設備修繕・維持,50362,59969,44749,44099,46090,52425,48146,50437,43405,37508,47083,46956,53581,58680,47205,48449,44501,57329,76407,54855,45356,49639,49973,48403,67365
51,4,2,2,1,設備材料,11226,6641,10258,6239,7626,16589,10545,13899,7132,11366,15292,10030,13346,11655,11295,13938,11016,14310,19755,13865,9458,13891,16780,11584,21351
52,4,2,2,2,工事その他のサービス,39137,53328,34491,37860,38464,35836,37601,36538,36272,26142,31791,36926,40235,47025,35910,34511,33485,43019,56651,40990,35898,35747,33193,36820,46014
53,2,3,-,-,光熱・水道,113699,112303,111480,114282,116095,118732,123226,122941,131998,127784,128851,130514,136864,142368,142231,140021,132345,136560,142183,139827,140239,136596,157181,156545,153800
